,0,1
123,cable,combination
124,cake,comfort
125,camera,command
126,camp,comment
127,campaign,commitment
128,canal,communication
129,cancer,comparison
130,candidate,compensation
131,candle,complaint
132,capital,completion
133,captain,complex
134,card,complexity
135,career,compliance
136,caroline,component
137,carpet,composition
138,carriage,compound
139,carrier,compromise
140,cash,computer
141,cast,concentration
142,castle,concept
143,catalogue,conception
144,cathedral,concern
145,cattle,concession
146,ceiling,conclusion
147,centre,condition
148,century,conduct
149,ceremony,confidence
150,chain,conflict
151,chair,confusion
152,chairman,connection
153,chamber,consciousness
154,champagne,consensus
155,champion,consent
156,championship,consequence
157,chancellor,consideration
158,channel,constitution
159,chapel,constraint
160,chapter,construction
161,character,consultation
162,charity,consumer
163,charles,consumption
164,charlie,contact
165,chart,contempt
166,charter,content
167,cheek,contents
168,chest,context
169,chief,contract
170,child,contradiction
171,chin,contrast
172,china,contribution
173,chip,control
174,christ,controversy
175,christian,conversation
176,church,conversion
177,cigarette,conviction
178,circle,copy
179,circuit,core
180,citizen,cost
181,city,counter
182,clarke,courage
183,clash,course
184,clerk,coverage
185,cliff,creation
186,clinic,credit
187,clinton,creditor
188,clock,crime
189,cloth,crisis
190,clothes,criterion
191,cloud,criticism
192,club,crop
193,coach,culture
194,coal,curiosity
195,coalition,currency
196,coast,current
197,coat,curriculum
198,coffee,curve
199,coffin,custom
200,coin,customer
201,collar,cycle
202,colleague,damage
203,collection,damages
204,collector,danger
205,college,database
206,colony,date
207,column,datum
208,commander,deal
209,commentator,debate
210,commission,debt
211,commissioner,decision
212,committee,declaration
213,community,decline
214,companion,decree
215,company,defect
216,competition,defence
217,competitor,defendant
218,concert,deficit
219,conference,definition
220,congress,degree
221,conservative,delay
222,constable,delivery
223,constituency,demand
224,consultant,democracy
225,container,demonstration
226,contest,deposit
227,continent,depression
228,convention,depth
229,cook,depths
230,corbett,description
231,corner,design
232,corp,desire
233,corporation,destruction
234,corpse,detail
235,corridor,determination
236,cottage,development
237,council,device
238,councillor,dialogue
239,count,diet
240,country,difference
241,countryside,difficulty
242,county,dilemma
243,couple,dimension
244,court,direction
245,cousin,directive
246,cover,disappointment
247,crack,disaster
248,craft,discipline
249,crash,discourse
250,cream,discovery
251,creature,discretion
252,crew,discrimination
253,critic,discussion
254,cross,disease
255,crowd,disorder
256,crown,display
257,cupboard,dispute
258,curtain,distance
259,dance,distinction
260,dancer,distribution
261,darkness,dividend
262,daughter,doctrine
263,david,document
264,dawn,domain
265,dealer,dose
266,death,doubt
267,decade,draw
268,deck,drawing
269,defeat,drug
270,defender,duty
271,delegate,earnings
272,delegation,ease
273,delight,economy
274,democrat,education
275,department,effect
276,departure,effectiveness
277,deputy,efficiency
278,designer,effort
279,desk,electricity
280,detective,element
281,developer,embarrassment
282,diana,emission
283,diary,emotion
284,dinner,emphasis
285,director,employer
286,disc,employment
287,dish,energy
288,disk,engine
289,district,enquiry
290,division,enterprise
291,doctor,enthusiasm
292,dollar,entity
293,door,entry
294,doorway,envelope
295,downstairs,environment
296,draft,equation
297,drama,equipment
298,dream,equivalent
299,dress,error
300,drink,essay
301,drive,establishment
302,driver,estimate
303,drop,evaluation
304,duke,event
305,dust,evidence
306,earl,evolution
307,earth,examination
308,east,example
309,edge,excess
310,edition,exchange
311,editor,excitement
312,edward,exercise
313,elbow,existence
314,election,expansion
315,eliot,expectation
316,elizabeth,expenditure
317,embassy,expense
318,emily,experience
319,emperor,experiment
320,empire,expertise
321,employee,explanation
322,enemy,export
323,engineer,exposure
324,england,expression
325,english,extension
326,entrance,extent
327,episode,facility
328,estate,fact
329,europe,factor
330,evening,failure
331,executive,faith
332,exhibition,fate
333,expedition,fault
334,expert,favour
335,explosion,fear
336,eyebrow,feeling
337,fabric,fibre
338,face,file
339,faction,filter
340,factory,finance
341,fall,finding
342,family,flavour
343,farm,flow
344,farmer,focus
345,fashion,food
346,father,force
347,feature,form
348,february,format
349,fellow,formation
350,female,formula
351,fence,fraction
352,festival,fragment
353,field,framework
354,fight,freedom
355,fighting,frequency
356,figure,frustration
357,film,fuel
358,final,function
359,finger,fund
360,fire,future
361,firm,gain
362,fish,gaze
363,fist,gene
364,flag,generation
365,flame,gesture
366,flat,gift
367,fleet,glance
368,flesh,glimpse
369,flight,goal
370,flood,goods
371,floor,grip
372,flower,grounds
373,foot,growth
374,football,guidance
375,ford,guideline
376,forehead,guilt
377,forest,habit
378,fortune,handle
379,forward,happiness
380,foundation,harm
381,frame,health
382,france,hearing
383,francis,heat
384,french,height
385,friend,help
386,friendship,hierarchy
387,front,hint
388,fruit,history
389,furniture,hostility
390,gallery,human
391,game,hypothesis
392,gang,idea
393,garage,ideal
394,garden,identification
395,garment,identity
396,gate,ideology
397,gear,illness
398,gentleman,image
399,george,imagination
400,german,impact
401,germany,implementation
402,ghost,implication
403,girl,import
404,glass,importance
405,glory,impression
406,glove,improvement
407,gold,impulse
408,gorbachev,incentive
409,government,incidence
410,governor,incident
411,grade,income
412,graham,increase
413,grain,independence
414,grant,index
415,grass,individual
416,grave,inequality
417,green,infection
418,grin,inflation
419,ground,influence
420,group,information
421,guard,ingredient
422,guest,initiative
423,guide,injunction
424,guitar,injury
425,gulf,innovation
426,hair,input
427,half,inquiry
428,hall,insect
429,hand,insight
430,handful,inspection
431,harry,instance
432,head,instinct
433,headline,institution
434,headquarters,instruction
435,heap,instrument
436,heart,insurance
437,heaven,integration
438,heel,intelligence
439,helen,intensity
440,helicopter,intention
441,hell,interaction
442,henry,interest
443,hero,interface
444,hill,interpretation
445,historian,interval
446,hitler,intervention
447,hold,introduction
448,holder,invasion
449,holding,investigation
450,hole,investment
451,holiday,involvement
452,home,isolation
453,honour,issue
454,hook,item
455,hope,judgement
456,horizon,judgment
457,horn,jurisdiction
458,horror,kind
459,horse,knowledge
460,hospital,lack
461,host,language
462,hotel,laughter
463,hour,layer
464,house,leadership
465,household,leaflet
466,housing,lease
467,howard,legislation
468,hundred,length
469,hunt,lesson
470,husband,level
471,inch,liability
472,india,licence
473,industry,life
474,inhabitant,lifespan
475,insider,lifetime
476,inspector,limit
477,institute,limitation
478,interior,link
479,interview,links
480,investor,list
481,invitation,literature
482,iraq,load
483,ireland,location
484,isabel,logic
485,island,look
486,israel,loss
487,italy,loyalty
488,jack,machinery
489,jacket,maintenance
490,jackson,majority
491,james,management
492,jane,manner
493,japan,margin
494,jesus,mass
495,john,material
496,johnson,matter
497,joint,maximum
498,joke,meaning
499,jones,means
500,joseph,measure
501,journal,measurement
502,journalist,mechanism
503,journey,medium
504,judge,membership
505,juice,memory
506,june,menu
507,jury,merger
508,justice,merit
509,kate,mess
510,kelly,message
511,kick,method
512,killer,mind
513,killing,minimum
514,king,minority
515,kingdom,mistake
516,kinnock,mixture
517,kiss,mode
518,kitchen,model
519,knee,module
520,knife,molecule
521,knight,moment
522,knot,momentum
523,kong,money
524,label,monopoly
525,laboratory,mood
526,labour,mortgage
527,ladder,motion
528,lady,motive
529,lake,move
530,lamb,movement
531,lamp,muscle
532,land,myth
533,landing,nature
534,landlord,necessity
535,landscape,need
536,lane,negotiation
537,laugh,nerve
538,launch,network
539,laura,noise
540,lawyer,norm
541,lead,note
542,leader,notice
543,leaf,notion
544,league,number
545,lecture,object
546,leeds,objection
547,left,objective
548,let,obligation
549,letter,observation
550,lewis,obstacle
551,library,occasion
552,lift,occupation
553,light,offence
554,lily,offender
555,limb,offer
556,line,operation
557,liverpool,operator
558,living,opinion
559,loan,opportunity
560,lock,opposition
561,london,option
562,lord,order
563,lorry,organisation
564,love,organism
565,lover,organization
566,lucy,origin
567,luke,other
568,lunch,outcome
569,machine,outline
570,magazine,output
571,maggie,ownership
572,magistrate,pace
573,mail,package
574,major,packet
575,maker,page
576,male,pain
577,manager,paragraph
578,manufacturer,parameter
579,march,participant
580,marie,participation
581,mark,particle
582,market,partnership
583,marriage,passage
584,martin,passion
585,marx,path
586,mary,patient
587,mask,pattern
588,master,payment
589,match,penalty
590,meal,pension
591,meat,percentage
592,medal,perception
593,media,performance
594,medicine,period
595,meeting,permission
596,member,person
597,metal,personality
598,metre,personnel
599,michael,perspective
600,middle,petition
601,mile,phase
602,milk,phenomenon
603,mill,philosophy
604,miller,photograph
605,million,phrase
606,mine,picture
607,miner,plaintiff
608,minister,plan
609,ministry,planning
610,minute,pleasure
611,mirror,plenty
612,missile,plot
613,mission,point
614,mist,policy
615,monster,pollution
616,month,popularity
617,moon,population
618,morgan,portfolio
619,morning,portion
620,moscow,position
621,mother,possession
622,motor,possibility
623,mountain,potential
624,mouse,poverty
625,mouth,power
626,movie,practice
627,mungo,preference
628,murder,premise
629,museum,preparation
630,music,presence
631,mystery,present
632,nail,presentation
633,name,pressure
634,nation,prey
635,neck,price
636,needle,principle
637,neighbour,priority
638,nest,privilege
639,news,problem
640,newspaper,procedure
641,nigel,proceedings
642,night,process
643,north,processor
644,nose,product
645,novel,production
646,nurse,profession
647,observer,profile
648,ocean,profit
649,office,program
650,officer,programme
651,official,progress
652,open,project
653,opening,promise
654,opponent,promotion
655,organ,proof
656,organiser,property
657,owner,proportion
658,oxford,proposal
659,pack,proposition
660,paint,prosecution
661,painting,prospects
662,pair,protection
663,palace,protein
664,palm,protest
665,panel,protocol
666,panic,provision
667,paper,publication
668,papers,publicity
669,parent,pulse
670,paris,punishment
671,park,purchase
672,parliament,purchaser
673,part,purpose
674,partner,pursuit
675,party,qualification
676,pass,quality
677,passenger,quantity
678,past,question
679,patch,questionnaire
680,patrick,range
681,paul,rank
682,pavement,rate
683,peace,rating
684,peak,ratio
685,peasant,reaction
686,penny,reader
687,people,reading
688,peter,reality
689,philip,reason
690,phone,receipt
691,photographer,reception
692,piece,recession
693,pile,recipe
694,pillow,recognition
695,pilot,recommendation
696,pint,record
697,pipe,recovery
698,pitch,reduction
699,place,reference
700,plane,referendum
701,planet,reflection
702,plant,reform
703,plate,refusal
704,platform,regime
705,play,register
706,player,regulation
707,pocket,rejection
708,poem,relation
709,poet,relationship
710,poetry,relative
711,pole,release
712,police,relief
713,policeman,religion
714,politician,remainder
715,politics,remains
716,poll,remark
717,pond,remedy
718,pool,removal
719,pope,rent
720,port,replacement
721,portrait,reply
722,post,report
723,poster,representation
724,potato,reputation
725,pound,request
726,practitioner,requirement
727,prayer,research
728,premium,resignation
729,president,resistance
730,press,resolution
731,pride,resource
732,priest,respect
733,prime,response
734,prince,responsibility
735,princess,restriction
736,print,result
737,prison,return
738,prisoner,revenue
739,prize,review
740,producer,reward
741,professional,right
742,prospect,rights
743,province,rise
744,public,risk
745,publisher,ritual
746,punch,role
747,pupil,root
748,quarter,routine
749,queen,rule
750,rabbit,rumour
751,race,safety
752,rachel,salary
753,radio,sale
754,rage,sample
755,raid,sanction
756,rail,satisfaction
757,railway,savings
758,rain,scale
759,rally,scent
760,rebel,schedule
761,receiver,scheme
762,recording,science
763,refugee,scope
764,region,score
765,reporter,search
766,representative,section
767,republic,sector
768,researcher,security
769,reserve,selection
770,resident,self
771,rest,sensation
772,restaurant,sense
773,retirement,senses
774,revolution,sensitivity
775,rhythm,sentence
776,richard,separation
777,ride,sequence
778,rider,service
779,ridge,setting
780,ring,shape
781,rival,share
782,river,shareholder
783,road,shift
784,robert,shock
785,robyn,shortage
786,rock,sigh
787,roll,sight
788,rome,sign
789,roof,signal
790,room,significance
791,rope,silence
792,rose,situation
793,round,size
794,route,skill
795,russia,skin
796,russian,slope
797,ruth,smell
798,salt,software
799,sand,soil
800,sarah,solution
801,scandal,sort
802,scene,sound
803,scholar,source
804,school,space
805,scientist,species
806,scot,specification
807,scotland,spectrum
808,scott,speculation
809,screen,speech
810,script,speed
811,seal,spending
812,season,sphere
813,seat,spirit
814,second,spread
815,seconds,stability
816,secret,stance
817,secretary,standard
818,seed,statement
819,seller,statistics
820,sergeant,status
821,series,statute
822,servant,step
823,session,stimulus
824,settlement,strain
825,shadow,strategy
826,shaft,strength
827,sheep,stress
828,sheet,stretch
829,shelf,structure
830,shell,struggle
831,shelter,study
832,ship,stuff
833,shirt,style
834,shoe,subject
835,shop,subsidy
836,shore,substance
837,shot,success
838,shoulder,succession
839,show,suggestion
840,side,sunlight
841,signature,supplier
842,simon,supplies
843,sister,supply
844,site,support
845,skirt,surface
846,sleep,surgery
847,sleeve,surplus
848,slice,survey
849,slide,survival
850,smile,suspicion
851,smith,symbol
852,smoke,sympathy
853,snow,symptom
854,society,system
855,sofa,tactic
856,soldier,talent
857,solicitor,target
858,song,task
859,soul,taste
860,south,teaching
861,spain,technique
862,speaker,technology
863,specialist,temperature
864,specimen,tendency
865,spell,tension
866,spine,term
867,spokesman,test
868,sport,text
869,spot,thanks
870,spring,theme
871,squad,theory
872,square,thesis
873,staff,thing
874,stage,thinking
875,stair,thought
876,stake,thread
877,stand,threat
878,star,time
879,start,tissue
880,state,tone
881,station,tool
882,statue,topic
883,stem,total
884,stephen,touch
885,stick,trace
886,stitch,trade
887,stock,tradition
888,stomach,traffic
889,stone,training
890,stop,transaction
891,store,transfer
892,storm,transformation
893,story,transition
894,strand,transport
895,stranger,treatment
896,stream,treaty
897,street,trend
898,strike,trouble
899,string,trust
900,strip,truth
901,stroke,turnover
902,student,type
903,studio,uncertainty
904,subsidiary,understanding
905,successor,unemployment
906,sugar,uniform
907,suicide,unit
908,suit,unity
909,summer,universe
910,summit,user
911,supporter,validity
912,surprise,value
913,susan,variable
914,sweat,variation
915,switch,variety
916,sword,vehicle
917,table,vein
918,tail,verdict
919,tale,version
920,talk,victim
921,tank,view
922,tape,viewer
923,taxi,violence
924,taylor,virtue
925,teacher,virus
926,team,vision
927,tear,volume
928,teenager,vote
929,telephone,voter
930,television,wages
931,temple,warmth
932,tenant,warning
933,tent,warrant
934,terrace,waste
935,territory,wave
936,terror,weakness
937,thatcher,wealth
938,theatre,weapon
939,thief,weight
940,thigh,welfare
941,thomas,whole
942,thousand,will
943,throat,willingness
944,thumb,wish
945,ticket,withdrawal
946,tide,word
947,tile,work
948,times,writing
949,title,zone
950,tongue,
951,tonne,
952,tony,
953,tooth,
954,torch,
955,tory,
956,tour,
957,tourist,
958,tournament,
959,towel,
960,tower,
961,town,
962,track,
963,trading,
964,tragedy,
965,trail,
966,train,
967,trap,
968,traveller,
969,tray,
970,treasury,
971,tree,
972,trial,
973,tribunal,
974,trick,
975,trip,
976,triumph,
977,troops,
978,trophy,
979,trousers,
980,truck,
981,trustee,
982,tube,
983,tune,
984,tunnel,
985,turn,
986,union,
987,university,
988,valley,
989,vendor,
990,venture,
991,verse,
992,vessel,
993,victory,
994,video,
995,villa,
996,village,
997,visit,
998,visitor,
999,voice,
1000,volunteer,
1001,waist,
1002,wales,
1003,walk,
1004,walker,
1005,wall,
1006,ward,
1007,washington,
1008,watch,
1009,water,
1010,waters,
1011,weather,
1012,week,
1013,weekend,
1014,west,
1015,wheel,
1016,while,
1017,whilst,
1018,white,
1019,wicket,
1020,wife,
1021,william,
1022,williams,
1023,willie,
1024,wilson,
1025,wind,
1026,window,
1027,wine,
1028,wing,
1029,winner,
1030,winter,
1031,wire,
1032,witness,
1033,woman,
1034,wood,
1035,worker,
1036,workshop,
1037,world,
1038,worth,
1039,wound,
1040,wright,
1041,wrist,
1042,writer,
1043,yard,
1044,year,
1045,york,
1046,youngster,
1047,youth,
