,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
10,mile,definition,notice,courage,availability,contempt,link,difference,garage,mail,gentleman,effect,mind,pollution,popularity,engineer,nigel,leadership,entity,fleet,edition,failure,chancellor,friendship,iraq,moment,coalition,democracy,injunction,helicopter,gallery,diet,jane,criticism,income,lover,joint,minority,demonstration,king,pressure,edge,palm,patient,instrument,,philosophy,district,candle,court,joseph,glory,surprise,estimate,game,gorbachev,festival,ridge,noise,planning,glove,handle,export,layer,rain,rail,ground,,employer,route,paint,field,enquiry,reward,smile
11,million,design,objection,curiosity,birth,crime,links,difficulty,garden,outline,girl,effectiveness,nest,protection,progress,expert,patrick,maintenance,horse,force,episode,invitation,chief,hunt,ireland,month,company,doctrine,legislation,lorry,headquarters,dish,kate,distinction,index,mother,labour,mixture,description,knight,speed,elbow,potato,people,item,,poetry,east,ceiling,delegation,peter,happiness,,focus,league,graham,meeting,river,particle,reading,hair,hold,insurance,load,sand,rock,hill,,holder,tour,painting,function,exchange,warrant,sound
12,penny,equation,post,desire,closure,damage,material,dilemma,hall,page,guard,efficiency,rage,provision,recession,fellow,paul,management,inhabitant,invasion,essay,judgement,clerk,relationship,israel,morning,corp,economy,petition,missile,hospital,drink,laura,evidence,inflation,neighbour,major,number,distribution,lady,strength,eyebrow,prey,person,machine,,practice,empire,clock,department,philip,imagination,,grade,match,green,program,shore,pulse,remains,jacket,hook,investment,molecule,shadow,rope,lane,,insider,trail,photograph,interval,exercise,,stitch
13,pound,format,question,effort,co-operation,danger,resource,disaster,home,print,guest,extent,scent,punishment,recovery,historian,robyn,media,insect,landing,film,judgment,coach,search,italy,night,corporation,environment,plan,motor,institute,drug,lily,expectation,margin,opponent,other,pair,entry,lord,temperature,face,root,plaintiff,machinery,,science,family,coffin,government,richard,insight,,limit,medal,howard,programme,slope,signal,setting,mask,kick,lease,pack,smoke,stem,mill,,investor,trip,picture,knot,hearing,,touch
14,thousand,formula,reaction,emphasis,completion,depression,site,error,hotel,register,hero,frequency,skin,regulation,reduction,journalist,scot,news,monster,launch,journal,permission,commander,strike,japan,occasion,division,existence,proposal,passenger,institution,electricity,lucy,explanation,membership,partner,past,percentage,evaluation,moon,tension,finger,seed,self,mechanism,,theory,forest,curtain,jury,robert,kind,,maximum,open,jackson,project,stream,spectrum,spending,patch,lead,licence,packet,snow,stone,mine,,landlord,triumph,portrait,line,inquiry,,voice
15,tonne,framework,reference,enthusiasm,compliance,disappointment,source,experiment,house,script,killer,height,sleep,relief,revolution,lawyer,tony,ownership,mouse,murder,leaflet,possession,commissioner,struggle,kong,period,enterprise,faith,proposition,plane,laboratory,food,maggie,fact,output,pupil,prime,plenty,examination,pope,weight,foot,sheep,subject,method,,,household,door,ministry,simon,knowledge,,measure,prize,johnson,session,valley,sphere,teaching,shirt,let,loan,phone,soil,tile,park,,maker,venture,poster,location,interview,,watch
16,,guideline,remark,expertise,construction,disease,stuff,fault,kitchen,sort,master,impact,smell,restriction,rise,photographer,willie,personnel,organism,occupation,magazine,prosecution,constable,,leeds,quarter,faction,fashion,referendum,ship,library,furniture,marie,grounds,population,relative,professional,proportion,example,prince,,forehead,slice,user,option,,,interior,doorway,office,stephen,laughter,,minimum,qualification,jones,summit,waters,stimulus,thinking,shoe,lift,market,pile,storm,tissue,plant,,manufacturer,visit,profile,menu,investigation,,
17,,interface,reply,goal,conversion,disorder,supplies,incident,palace,text,miner,importance,sweat,rights,spread,poet,,portfolio,planet,operation,movie,recommendation,councillor,,liverpool,seconds,firm,fate,reform,tank,museum,goods,mary,hint,price,rival,public,quantity,expression,princess,,front,tree,victim,platform,,,kingdom,fence,panel,thomas,love,,peak,race,kinnock,training,,tide,thought,skirt,lock,money,pocket,sunlight,wire,railway,,operator,walk,record,mode,joke,,
18,,model,report,hope,creation,doubt,supply,issue,restaurant,trace,nurse,incidence,tear,safety,stability,politician,,publicity,rabbit,raid,newspaper,refusal,delegate,,london,spring,foundation,habit,resolution,taxi,prison,juice,rachel,hypothesis,profit,sister,russian,range,identification,queen,,grave,,voter,procedure,,,land,fist,parliament,will,memory,,point,rally,lewis,workshop,,variable,writing,sleeve,move,mortgage,pool,water,wood,road,,owner,,recording,order,lecture,,
19,,module,response,ideal,death,embarrassment,,matter,room,version,observer,inequality,waste,,survival,practitioner,,radio,species,troops,novel,request,democrat,,moscow,summer,fund,hierarchy,statute,train,school,lunch,ruth,idea,rate,successor,second,string,inspection,star,,hand,,worth,process,,,landscape,frame,police,william,mood,,present,round,martin,,,wave,,suit,pass,payment,screen,weather,,square,,publisher,,sample,pattern,negotiation,,
20,,norm,review,incentive,delivery,exposure,,mess,shelter,,official,intensity,,,transformation,producer,,security,specimen,,paper,right,deputy,,oxford,time,gang,identity,treaty,transport,station,meal,sarah,implication,rating,wife,secret,total,instance,stranger,,head,,,processor,,,nation,gear,treasury,,peace,,remedy,season,marx,,,,,towel,pitch,pension,sheet,wind,,street,,purchaser,,seal,phase,poll,,
21,,package,sentence,instinct,departure,fear,,mistake,shop,,peasant,lack,,,transition,reporter,,service,substance,,papers,verdict,director,,paris,times,group,ideology,,truck,surgery,meat,susan,impression,revenue,,tory,variety,instruction,,,heel,,,product,,,north,grip,tribunal,,rhythm,,result,sport,miller,,,,,trousers,play,premium,shelf,,,terrace,,reader,,shot,place,proceedings,,
22,,parameter,statement,intention,destruction,frustration,,mystery,store,,pilot,length,,,trend,researcher,,staff,virus,,paragraph,,executive,,rome,week,industry,influence,,vehicle,temple,milk,,notion,salary,,white,,interaction,,,knee,,,software,,,port,guitar,,,sensation,,sanction,squad,morgan,,,,,uniform,return,property,space,,,tower,,seller,,statue,plot,protest,,
23,,protocol,support,interest,discovery,guilt,,obstacle,studio,,player,level,,,,scholar,,statistics,,,phrase,,governor,,russia,weekend,label,language,,vessel,theatre,pint,,opinion,surplus,,,,interpretation,,,limb,,,solution,,,province,hole,,,sense,,scale,team,scott,,,,,,roll,purchase,surface,,,tunnel,,shareholder,,study,ring,research,,
24,,questionnaire,thanks,loyalty,election,harm,,phenomenon,tent,,policeman,lifespan,,,,scientist,,television,,,piece,,inspector,,scotland,while,movement,manner,,,university,recipe,,perception,turnover,,,,lesson,,,mouth,,,tactic,,,region,horn,,,senses,,stretch,title,smith,,,,,,rose,rent,table,,,yard,,supplier,,survey,routine,speech,,
25,,requirement,vote,motive,establishment,hostility,,problem,villa,,priest,outcome,,,,specialist,,traffic,,,poem,,judge,,spain,whilst,network,myth,,,,salt,,possibility,unemployment,,,,measurement,,,muscle,,,technique,,,republic,knife,,,sight,,target,tournament,taylor,,,,,,score,savings,tape,,,,,tenant,,video,scene,talk,,
26,,schedule,warning,necessity,extension,illness,,relation,,,prisoner,quality,,,,teacher,,welfare,,,press,,justice,,wales,winter,organisation,nature,,,,sugar,,premise,wages,,,,observation,,,neck,,,technology,,,seat,ladder,,,silence,,,trophy,thatcher,,,,,,shift,share,telephone,,,,,vendor,,view,sequence,thread,,
27,,scheme,,need,formation,infection,,scandal,,,rebel,rank,,,,writer,,,,,publication,,leader,,washington,year,organization,origin,,,,wine,,principle,,,,,performance,,,nerve,,,tool,,,settlement,lamp,,,soul,,,victory,walker,,,,,,show,stake,trap,,,,,viewer,,,shape,trial,,
28,,specification,,objective,implementation,injury,,shortage,,,receiver,ratio,,,,,,,,,section,,magistrate,,york,,partnership,personality,,,,,,proof,,,,,prayer,,,nose,,,weapon,,,south,mirror,,,spirit,,,winner,williams,,,,,,sign,stock,tray,,,,,,,,spot,work,,
29,,standard,,obligation,independence,isolation,,situation,,,refugee,risk,,,,,,,,,series,,manager,,,,party,perspective,,,,,,prospect,,,,,preparation,,,shoulder,,,,,,state,nail,,,taste,,,,wilson,,,,,,slide,subsidy,tube,,,,,,,,stage,,,
30,,system,,opportunity,integration,offence,,task,,,resident,scope,,,,,,,,,song,,member,,,,sector,policy,,,,,,reason,,,,,presentation,,,side,,,,,,territory,needle,,,tone,,,,wright,,,,,,spell,ticket,,,,,,,,,strand,,,
31,,test,,passion,intervention,opposition,,thing,,,rider,sensitivity,,,,,,,,,story,,minister,,,,society,politics,,,,,,rumour,,,,,production,,,spine,,,,,,town,organ,,,truth,,,,,,,,,,stand,trade,,,,,,,,,structure,,,
32,,type,,potential,introduction,pain,,topic,,,servant,significance,,,,,,,,,strip,,officer,,,,subsidiary,position,,,,,,speculation,,,,,promotion,,,stomach,,,,,,village,pillow,,,unity,,,,,,,,,,start,trading,,,,,,,,,symbol,,,
33,,,,preference,involvement,panic,,trouble,,,soldier,size,,,,,,,,,tale,,organiser,,,,trust,presence,,,,,,suggestion,,,,,reception,,,tail,,,,,,ward,pipe,,,virtue,,,,,,,,,,step,transaction,,,,,,,,,theme,,,
34,,,,priority,loss,poverty,,,,,student,status,,,,,,,,,term,,president,,,,union,profession,,,,,,suspicion,,,,,recognition,,,thigh,,,,,,west,plate,,,vision,,,,,,,,,,stick,,,,,,,,,,track,,,
35,,,,promise,marriage,resistance,,,,,teenager,validity,,,,,,,,,thesis,,representative,,,,unit,reality,,,,,,understanding,,,,,reflection,,,throat,,,,,,world,pole,,,warmth,,,,,,,,,,stop,,,,,,,,,,tune,,,
36,,,,prospects,merger,shock,,,,,thief,value,,,,,,,,,verse,,secretary,,,,wing,regime,,,,,,,,,,,representation,,,thumb,,,,,,,roof,,,wealth,,,,,,,,,,switch,,,,,,,,,,universe,,,
37,,,,purpose,participation,strain,,,,,tourist,variation,,,,,,,,,volume,,sergeant,,,,,religion,,,,,,,,,,,selection,,,tongue,,,,,,,shaft,,,,,,,,,,,,,transfer,,,,,,,,,,vein,,,
38,,,,reputation,passage,stress,,,,,traveller,,,,,,,,,,word,,solicitor,,,,,ritual,,,,,,,,,,,signature,,,tooth,,,,,,,shell,,,,,,,,,,,,,trick,,,,,,,,,,zone,,,
39,,,,responsibility,receipt,suicide,,,,,visitor,,,,,,,,,,,,speaker,,,,,role,,,,,,,,,,,treatment,,,waist,,,,,,,sofa,,,,,,,,,,,,,turn,,,,,,,,,,,,,
40,,,,skill,rejection,symptom,,,,,volunteer,,,,,,,,,,,,spokesman,,,,,rule,,,,,,,,,,,,,,wound,,,,,,,stair,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,success,release,terror,,,,,witness,,,,,,,,,,,,supporter,,,,,stance,,,,,,,,,,,,,,wrist,,,,,,,stroke,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,sympathy,removal,threat,,,,,woman,,,,,,,,,,,,trustee,,,,,strategy,,,,,,,,,,,,,,,,,,,,,sword,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,talent,replacement,tragedy,,,,,worker,,,,,,,,,,,,,,,,,style,,,,,,,,,,,,,,,,,,,,,torch,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,tendency,resignation,uncertainty,,,,,youngster,,,,,,,,,,,,,,,,,tradition,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,willingness,retirement,violence,,,,,youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wheel,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,wish,sale,weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wicket,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,separation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,window,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,succession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
